Film 	Lead Studio	Rotten Tomatoes %	Audience  score %	Story	Genre	Number of Theatres in US Opening Weekend	Box Office Average per US Cinema (Opening Weekend)	Domestic Gross	Foreign Gross	Worldwide Gross	Budget	Profitability	Opening Weekend
Journey to the Center of the Earth	Warner Bros.	61	55	Quest	Action	2811	7477	101.7	140.29	241.99	45	537.77%	21
Julie & Julia 	Sony	74	69	Underdog	Biography	2354	8508	94.12	32.52	126.64	40	316.60%	20
Jumper	Fox	16	50	Rescue	Action	3428	7980	80.17	142.06	222.23	82.5	269.37%	27.4
Juno	Fox	94	89	Maturation	Comedy	1019	10436	143.5	87.69	231.18	7.5	3082.46%	10.6
Just Go With It	Happy Madison	19	63	Comedy	Romance	3548	8601	103.03	111.92	214.95	80	268.68%	30.51
Just Wright	Fox	45	58	Love	Comedy	1831	4525	21.54	0.029	21.569	12	179.74%	8.3
Kick-Ass	Independent	76	83	Rivalry	Action	3065	6469	48.07	48.06	96.13	30	320.43%	19.8
Killer Elite	Independent	25	48	Rivalry	Action	2986	3132	25.12	27.84	52.96	70	75.66%	9.35
Killers	Lionsgate	11	45	Love	Action	2859	5539	47.06	46.34	93.4	75	124.53%	15.8
Kit Kittredge: An American Girl	Warner Bros.	78	26	riddle	Drama			17.66	N/A	17.66	10	176.58%	3.3
Knight and Day	Fox	53	52	Pursuit	Action	3098	6501	76.42	185.26	261.68	117	223.66%	20.2
Knocked Up	Universal	91	83	Love	Comedy	2871	10690	148.77	70.23	219	33	663.64%	30.7
Knowing 	Summit	33	50	Escape	Drama	3332	7384	79.95	103.63	183.58	50	367.16%	24.6
Knucklehead	WWE Studios	10	35	Comedy	Comedy					0			
Kung Fu Panda	Paramount	88	83	Underdog	Animation	4114	14642	215.43	416.31	631.74	200	315.87%	60.24
Kung Fu Panda 2	DreamWorks Animation	82	80	Rivalry	Animation	3925	12142	165.25	497.78	663.02	150	442.02%	47.66
Lakeview Terrace	Sony	46	44	rivalry	Crime	2464	6090	39.26	5.39	44.65	20	223.27%	15
Land of the Lost 	Universal	26	38	Journey and Return	Drama	3521	5350	49.43	20.11	69.54	100	69.54%	18.8
Larry Crowne	Universal	34	46	Discovery	Drama	2973	4405	35.61	16.8	52.41	30	174.69%	13.1
Law Abiding Citizen 	Independent	25	77	Revenge	Crime	2890	7280	73.4	53.08	126.48	53	238.64%	21
Leap Year	Universal	21	49	Love	Comedy	2511	3665	25.9	6.69	32.59	19	171.53%	9.2
Leatherheads	Universal	52	41	Rivalry	Comedy	2769	4580	31.23	9.93	41.16	58	70.96%	12.7
Legend of the Guardians: The Owls of Ga'Hoole	Warner Bros.	51	65	Rivalry	Animation	3575	4507	55.64	84.26	139.9	80	174.88%	16.1
Legion	Independent	19	36	Monster Force	Action	2476	7069	40.17	27.74	67.91	26	261.19%	17.5
Letters to Juliet	Summit	40	62	Love	Comedy	2968	4562	53.03	26.15	79.18	30	263.93%	13.5
License to Wed	Warner Bros.	8	55	Love	Comedy	2604	4002	43.8	25.51	69.31	35	198.02%	10.4
Life as We Know It	Independent	28	62	Love	Comedy	3150	4605	53.13	43.03	96.16	38	253.05%	14.5
Limitless	Virgin	69	73	Wretched Excess	Thriller	2756	6860	79.25	82.6	161.85	27	599.44%	18.91
Lions for Lambs	Independent	27	48	Quest	Drama	2215	3025	15	48.21	63.21	35	180.60%	6.7
Little Fockers	Independent	9	40	Comedy	Comedy	3536	8720	123.69	109.01	232.7	100	232.70%	30.83
Live Free or Die Hard	Fox	79	86	Rescue	Action	3408	9791	134.53	249	383.53	110	348.66%	33.4
Love & Other Drugs	Fox	48	55	Love	Comedy	2455	3967	31.68	22.85	54.53	30	181.77%	9.74
Love Happens 	Universal	18	40	Love	Drama	1898	4245	22.96	13.12	36.08	18	200.44%	8.05
MacGruber	Independent	47	33	Comedy	Action	2551	1585	8.53	0.8	9.33	10	93.30%	4
Machete	Independent	73	66	Revenge	Action	2670	4276	26.59	15.55	42.14	20	210.70%	11
Machine Gun Preacher	Lionsgate	29	71	Transformation	Action			0.54	0.57	1.1	30	3.68%	0.05
Mad Money	Independent	22	51	Comedy	Comedy	2470	3132	20.67	5.74	26.41	22	120.05%	7.74
Madagascar: Escape 2 Africa	Paramount	64	73	Journey and Return	Animation	4056	15559	176.93	423.89	600.82	150	400.55%	63.11
Made of Honor	Sony	13	61	Love	Comedy	2729	5407	46.01	59.95	105.96	40	264.91%	14.76
Mamma Mia!	Universal	53	76	Love	Comedy	2976	9325	143.76	465.71	609.47	66	923.45%	27.75
Margin Call	Independent	86	73	Sacrifice	Thriller			4.94	3.93	8.87	3.5	253.40%	0.56
Marley and Me	Fox	63	77	love	Comedy	3480	10448	106.51	99.56	206.07	55	374.68%	36.36
Marmaduke	Fox	9	46	Rivalry	Comedy	3213	3610	33.64	49.71	83.35	50	166.70%	11.6
Mars Needs Moms	Disney	36	43	Rescue	Animation	3117	2218	21.39	17.6	38.99	150	25.99%	6.91
Max Payne	Fox	16	36	Revenge	Action	3376	5225	40.66	44.73	85.38	35	243.95%	17.6
Meet Dave	Fox	19	42	Fish Out of Water	Adventure	3011	1744	11.8	38.85	50.65	60	84.42%	5.25
Meet the Robinsons	Disney	66	75	Quest	Animation	3413	7361	97.82	71.51	169.33	100	169.33%	25.1
Meet the Spartans	Independent	2	31	comedy	Comedy	2605	7104	38.23	46.41	84.65	30	282.16%	18.51
Megamind	Paramount	72	73	Transformation	Animation	3944	11668	144.67	173.46	318.13	130	244.72%	46.02
Michael Clayton	Independent	90	72	Transformation	Thriller	2511	4131	49.03	43.96	92.99	25	371.97%	10.4
Michael Jackson's This Is It 	Sony	81	82	Tragedy	Documentary	3481	6675	72.1	180	252.1	60	420.17%	23.3
Midnight in Paris	Sony	93	84	Love	Romance	944	6177	56.8	91.86	148.66	17	874.47%	5.83
Milk	Universal	94	88	quest	Biography	36	40385	31.84	18.32	50.16	20	250.80%	1.5
Miracle at St. Anna	Disney	34	68	quest	Action	1185	2935	7.92	1.2	9.12	45	20.26%	3.5
Mirrors	Independent	14	49	monster force	Horror	2664	4190	30.69	46.8	77.49	35	221.40%	11.2
Miss Pettigrew Lives for a Day	Independent	78	70	Love	Comedy	535	4655	12.31	2.86	15.17	60	25.29%	2.49
Mission Impossible 4	Paramount	93	86	Pursuit	Action	3448	8672	208.38	480.4	688.78	145	475.02%	29.55
Moneyball	Columbia	95	89	Underdog	Drama	2993	6516	75.6	32.5	108.1	50	216.20%	19.5
Monsters Vs. Aliens 	Paramount	72	65	Monster Force	Animation	4104	14454	198.4	183.2	381.5	175	218.00%	59.3
Monte Carlo	20th Century Fox	38	50	Love	Romance	2473	3014	23.18	16.48	39.66	20	198.32%	7.45
Morning Glory	Independent	54	54	Comedy	Comedy	2518	3655	31.01	27.78	58.79	40	146.98%	9.2
Mother and Child	Independent	79	61	Transformation	Drama	4		1.11	3.76	4.87	7	69.57%	0.43
Mr. Brooks	MGM	56	75	Temptation	Thriller	2453	4083	28.55	19.57	48.12	20	240.61%	10
Mr. Magorium's Wonder Emporium	Independent	36	56	Transformation	Fantasy	3164	3043	32.06	36.89	68.95	25	275.79%	9.63
Mr. Popper's Penguins	20th Century Fox	47	54	Discovery	Comedy	3339	5524	68.22	119.14	187.36	55	340.65%	18.45
Music and Lyrics	Warner Bros.	63	70	Love	Romance			50.57	95.32	145.9	40	364.74%	13.6
My Best Friend's Girl	Lionsgate	14	51	Comedy	Comedy	2604	3174	19.22	22.4	41.62	20	208.11%	8.27
My Bloody Valentine 3-D 	Lionsgate	57	48	Pursuit	Crime	2534	8383	51.54	51.2	102.74	14	733.86%	21.2
My Life in Ruins 	Independent	9	43	Comedy	Comedy	1164	2769	8.67	9.34	18.01	17	106.00%	3.2
My Sister's Keeper 	Warner Bros.	47	73	Escape	Drama	2606	4774	49.2	39.85	89.05	27.5	323.82%	12.4
My Soul to Take	Relativity Media	9	29	Monster Force	Horror	2572	2660	14.74	5.09	19.83	25	79.32%	6.84
My Week with Marilyn	The Weinstein Company	83	84	Love	Drama	247	7174	5.31	2.95	8.26	10	82.58%	1.75
Nancy Drew	Independent	49	61	The Riddle	Thriller	2612	2615	25.61	5.05	30.67	20	153.33%	6.9
Nanny McPhee Returns	Universal	77	54	Comedy	Comedy	2784	3020	29.01	64.23	93.24	35	266.40%	8.4
National Treasure: Book of Secrets	Disney	31	72	The Riddle	Thriller	3832	11686	219.96	237.4	457.36	130	351.82%	44.8
Never Back Down	Summit	23	37	Rivalry	Action	2729	3152	24.85	16.78	41.63	21	198.22%	8.6
Never Back Down 2: The Beatdown	Sony	?	44	Rivalry	Action						3	0.00%	8.6
Never Let Me Go	Independent	70	70	Tragedy	Drama	4		2.43	7.3	9.73	15	64.87%	0.11
New Year's Eve	Warner Bros.	8	48	Love	Romance	3505	3714	54.54	87.5	142.04	56	253.64%	13.01
Next	Paramount	29	59	Pursuit	Thriller	2725	2617	18.21	55.33	73.54	70	105.06%	7.1
Next Day Air 	Summit	21	27	Comedy	Action	1138	3613	10	0	10	3	333.33%	4.1
Nick and Norah's Infinite Playlist	Sony	73	67	Love	Comedy	2421	4672	31.49	2.04	33.53	10	335.27%	11.31
Night at the Museum: Battle of the Smithsonian 	Fox	43	60	Quest	Action	4096	13226	177.2	235.8	413	150	275.33%	54.2
Nights in Rodanthe	Warner Bros.	31	56	Discovery	Drama	2704	4962	41.74	37.5	79.24	30	264.12%	13.42
Nim's Island	Independent	51	50	rescue	Adventure	3513	3760	48.01	52.07	100.08	37	270.48%	13.2
Nine 	Weinstein Co.	37	40	Discovery	Drama	1412	3862	19.67	34.32	53.99	80	67.49%	5.45
Ninja Assassin 	Warner Bros.	25	57	Revenge	Action	2503	5320	38.12	23.47	61.59	50	123.18%	13.3
No Country for Old Men	Paramount	95	84	Pursuit	Drama	860	9042	74.28	86.72	161	25	644.00%	7.8
No Reservations		39	64	Love	Comedy	2425	4826	43.11	49.49	92.6	28	330.72%	11.7
No Strings Attached	Spyglass Entertainment	49	57	Comedy	Comedy	3018	6512	70.6	77.1	147.7	25	590.80%	19.7
Norbit	Paramount	9	56	Comedy	Comedy	3136	10904	95.67	63.64	159.31	60	265.52%	34.2
Not Easily Broken 	Independent	34	66	Love	Drama	724	7340	10.6	0.14	10.7	5	214.00%	5.3
Notorious	Fox	50	66	Tragedy 	Biography	1638	12514	36.84	7.52	44.36	20	221.80%	20.5
Observe and Report 	Warner Bros.	51	40	Comedy	Comedy	2727	4040	24	2.96	26.96	18	149.78%	11
Obsessed 	Sony	20	50	Rivalry	Drama	2514	11318	68.26	5.56	73.82	20	369.10%	28.6
Ocean's 13	Warner Bros.	70	74	Revenge	Thriller	3565	10135	117.15	194.16	311.31	85	366.25%	36.1
Old Dogs 	Buena Vista	5	49	Comedy	Comedy	3425	4933	49.49	47.26	96.75	35	276.43%	16.9
One Day	Independent	37	54	Love	Romance	1719	2955	13.84	41.4	55.24	15	368.27%	5.08
One Missed Call	Warner Bros.	0	36	Monster Force	Horror	2240	5585	26.89	17.62	44.51	20	222.55%	12.5
Orphan 	Warner Bros.	55	65	Escape	Horror	2750	4681	41.59	36.74	78.33	30	261.10%	12.8
Our Family Wedding	Independent	14	49	Love	Comedy	1605	4754	20.26	1.11	21.37			7.6
Our Idiot Brother	The Weinstein Company	68	79	Comedy	Comedy	2555	2744	24.82		24.82	5	496.32%	7.01
Over Her Dead Body	New Line	15	47	Love	Comedy			7.57	13.14	20.71	10	207.10%	4.03
P.S. I Love You	Independent	21	82	Love	Romance	2454	2641	53.7	99.4	153.09	30	510.31%	6.5
Pandorum 	Independent	28	49	Monster Force	Action	2506	1765	10.3	6.7	17	40	42.50%	4.4
Paranormal Activity 	Independent	82	56	Monster Force	Horror	760	25813	107.92	88.76	196.68	0.015	1311200.00%	19.6
Paranormal Activity 2	Paramount			Monster Force	Horror	3216	12649	84.75	92.75	177.5	3	5916.67%	40.67
Paranormal Activity 3	Independent	68	58	Monster Force	Horror	3321	15829	103.66	98.24	201.9	5	4037.94%	52.57
Pathfinder: Legend of the Ghost Warrior		11	41	Rescue	Action	1720	2907	10.23	20.59	30.82	26	118.55%	5
Paul	Relativity	72	70	Comedy	Comedy	2802	4655	37.41	60.57	97.98	40	244.96%	13.04
Paul Blart: Mall Cop 	Sony	33	50	Comedy	Action	3144	10125	146.33	36.95	183.28	26	704.92%	31.8
Penelope	Summit	52	74	love	Comedy			10.01	10.73	20.74	15	138.28%	3.8
Percy Jackson & the Olympians: The Lightning Thief	Fox	50	57	Rivalry	Action	3356	9308	88.77	137.73	226.5	95	238.42%	31.2
Pineapple Express	Sony	68	74	Comedy	Action	3072	7567	87.34	14.28	101.62	26	390.86%	23.2
Piranha 3-D	The Weinstein Company	74	45	Monster Force	Comedy	2470	4092	25	54.78	79.78	24	332.42%	10.1
Pirate Radio (The Boat that Rocked, UK)	Focus	60	72	Comedy	Comedy	882	3293	8.01	28.33	36.34	50	72.68%	2.9
"Pirates of the Caribbean:
On Stranger Tides"	Disney	34	61	Quest	Action	4155	21697	241.07	802.8	1,043.87	250	417.55%	90.15
Pirates of the Caribbean: At World's End	Disney	45	74	Rescue	Action	4362	26302	309.42	651.58	961	300	320.33%	114.7
Planet 51 	Independent	22	45	Comedy	Animation	3035	4048	42.19	63.45	105.64	70	150.91%	12.3
Please Give	Sony	88	62	Comedy	Comedy			4.03	0.23	4.26	3	142.00%	0.1
Post Grad 	Fox	7	31	Maturation	Comedy	1959	1354	6.38	0	6.38	15	42.53%	2.6
Predators	Fox	64	52	Monster Force	Action	2669	9277	52	74.74	126.74	40	316.85%	24.8
Premonition	Sony	8	55	The Riddle	Drama	2831	6202	47.85	36.14	84	20	419.98%	17.6
Pride & Glory	Warner Bros.	34	54	Temptation	Crime	2585	2423	15.74	15.41	31.15	30	103.83%	6.26
Priest	Sony	17	37	Monster Force	Action	2864	5221	29.14	49.17	78.31	60	130.51%	14.95
Prince of Persia: The Sands of Time	Disney	36	71	Rivalry	Action	3646	8254	90.76	244.39	335.15	200	167.58%	30
Prom Night	Independent	8	46	escape	Horror	2700	7705	43.87	13.32	57.19	18	317.72%	20.81
Public Enemies 	Universal	67	65	Underdog	Biography	3334	7580	97.1	117	214.1	100	214.10%	25.2
Punisher: War Zone	Lionsgate	27	47	Revenge	Action	2508	1703	8.05	2.04	10.09	35	28.83%	4.3
Push 	Summit	22	47	Quest	Action	2313	4358	31.81	17.04	48.85	38	128.55%	10.1
Puss In Boots	DreamWorks	83	76	Quest	Animation	3952	8623	148.76	373.5	522.26	130	401.74%	34.08
Quantum of Solace	MGM	64	62	Revenge	Action	3451	19568	166.8	417.72	584.52	230	254.14%	67.5
Quarantine	Sony	59	46	Monster Force	Horror	2461	5775	31.69	9.62	41.31	12	344.27%	14.2
Race to Witch Mountain 	Buena Vista	42	50	Quest	Action	3187	7651	67.17	39.21	106.38	50	212.76%	24.4
Rachel Getting Married	Independent	85	61	love	Drama	9	32597	12.79	3.82	16.61	12	138.42%	0.29
Rambo	Lionsgate	36	70	Rescue	Action	2751	6617	42.75	70.49	113.24	47.5	238.41%	18.2
Rango	Paramount	88	69	Fish Out Of Water	Animation	3917	9722	123.26	121.9	245.15	135	181.60%	38.08
Ratatouille	Disney	97	84	Transformation	Animation	3940	11935	206.45	414.98	621.42	150	414.28%	47
Real Steel	DreamWorks Pictures	58	81	Underdog	Action	3440	7942	83.61	186.2	269.81	110	245.28%	27.32
Red	Summit	71	72	Rivalry	Action	3255	6686	89.84	74.58	164.42	58	283.48%	21.8
Red Riding Hood	Warner Bros	11	41	Monster Force	Horror	3030	4622	37.66	51.5	89.16	42	212.29%	14.01
Red State	Independent	57	59	Escape	Horror			1.1	?	1.1	4	27.60%	
Religulous	Lionsgate	70	78	comedy	Documentary	502	6792	13.01	0.12	13.14	2.5	525.41%	3.41
Remember Me	Summit	28	70	Love	Drama	2212	3657	19.07	36.79	55.86	16	349.13%	8
Repo Men	Universal	22	43	Rescue	Action	2521	2430	13.79	4.62	18.41	32	57.53%	6.1
Resident Evil: Afterlife	Highlight Communications	24	53	Monster Force	Action	3203	8320	60.13	236.09	296.22	60	493.70%	26.7
Righteous Kill	Overture	19	44	The Riddle	Crime	3152	5168	40.08	38.37	78.45	60	130.75%	16.3
Rio	20th Century Fox	71	73	Quest	Animation	3826	10252	143.62	341.02	484.63	90	538.48%	39.23
Rise of the Planet of the Apes	20th Century Fox	83	87	Revenge	Action	3648	15024	176.7	304.52	481.23	93	517.45%	54.81
Robin Hood	Universal	42	59	Rivalry	Action	3503	10295	105.27	216.4	321.67	200	160.84%	36
Role Models	Universal	77	75	Discovery	Comedy	2792	6865	66.69	25.09	91.77	28	327.76%	19.17
Rush Hour 3	Warner Bros.	20	68	Rescue	Action	3778	12996	140.13	117.9	258.02	140	184.30%	49.1
Salt	Sony	62	62	Revenge	Action	3612	9970	118.31	175.19	293.5	110	266.82%	36
Sanctum	Relativity Media	30	39	Quest	Action	2787	3390	23.2	85.4	108.6	30	362.00%	9.4
Saw 3-D	Independent	10	47	Escape	Crime	2808	8024	45.71	76.8	122.51	20	612.55%	22.53
Saw IV	Independent	18	70	Escape	Horror	3183	9976	63.3	76.05	139.35	10	1393.53%	31.7
Saw V	Independent	13	63	Monster Force	Crime	3030	9822	56.75	57.12	113.86	10.8	1054.29%	30.1
Saw VI 	Independent	40	67	Escape	Horror	3036	4650	27.69	40.5	68.19	11	619.91%	14.1
Scott Pilgrim vs. the World	Universal	81	83	Underdog	Action	2818	3765	31.52	16.05	47.57	60	79.28%	10.6
Scream 4	Weinstein Company	58	57	Monster Force	Horror	3305	5656	38.18	58.96	97.14	40	242.84%	18.69
Season Of The Witch	Relativity 	10	32	Monster Force	Action	2816	3769	24.8	66.8	91.6	40	229.00%	10.6
Semi-Pro	Warner Bros.	21	41	underdog	Comedy	3121	4830	33.48	10.41	43.88	2.6	1687.87%	15.08
Seven Pounds	Sony	27	77	Sacrifice	Drama	2758	5385	60.04	98.21	158.25	55	287.72%	14.9
Sex and the City	Warner Bros.	49	81	love	Comedy	3285	17363	152.65	262.61	415.25	57.5	722.18%	57.04
Sex and the City 2	Warner Bros.	15	49	Love	Comedy	3445	8999	95.35	193	288.35	100	288.35%	31
Sex Drive	Summit	46	61	Journey and Return	Adventure	2421	1490	8.4	10.35	18.75	19	98.70%	3.61
Shame	Independent	80	80		Drama	10	34952	3.87	10.09	13.96	6.5	214.77%	0.34
Shark Night 3D	Relativity	16	25	Escape	Horror	2806	2995	18.88	19.83	38.7	25	154.81%	8.4
She's Out of My League	Paramount	57	60	Love	Comedy	2956	3307	32.01	16.8	48.81	20	244.05%	9.8
Sherlock Holmes 	Warner Bros.	70	81	The Riddle	Action	3626	17183	209.02	315	524.02	90	582.24%	62.3
Sherlock Holmes 2	Warner Bros	60	79	Pursuit	Action	3703	10704	186.36	335.6	521.96	125	417.57%	39.63
Shoot 'Em Up	Warner Bros.	67	66	Pursuit	Action	2108	2711	12.81	14	26.81	39	68.74%	5.7
Shooter	Paramount	47	82	Pursuit	Action	2806	5175	47	48.69	95.7	61	156.88%	14.5
Shrek Forever After	Paramount	57	64	Journey and Return	Animation	4359	16251	238.74	510.06	748.8	165	453.82%	70.8
Shrek the Third	Paramount	42	57	Quest	Animation	4122	29507	322.72	476.24	798.96	160	499.35%	121.6
Shutter	Fox	7	40	Monster Force	Horror	2753	3794	25.93	21.95	47.88	8	598.48%	10.5
Shutter Island	Paramount	68	73	The Riddle	Drama	2991	13729	128.01	166.79	294.8	80	368.50%	41
Sicko	The Weinstein Company	93	87	quest	Documentary	702	5128	24.54	11.23	35.77	9	397.42%	3.6
Skyline	Independent	16	19	Monster Force	Action	2880	4060	21.39	33.87	55.26	10	552.60%	11.69
Slumdog Millionaire	Independent	94	90	Underdog	Crime			141.31	234.48	375.79	15	2505.27%	4.3
Smart People	Independent	50	41	Transformation	Comedy	1106	3700	9.51	2.14	11.65	7	166.45%	4.09
Smokin' Aces	Universal	27	64	Pursuit	Action	2218	6599	35.79	21.32	57.1	17	335.91%	14.6
Solitary Man	Independent	81	47	Wretched Excess	Comedy	4	23734	4.36	0.7	5.06	15	33.73%	0.09
Something Borrowed	Independent	?	?	Love	Romance	2904	4802	39.05	21.14	60.18	35	171.95%	13.95
Sorority Row 	Summit	22	38	Pursuit	Horror	2665	1899	11.97	15.24	27.21	12.5	217.68%	5.1
Soul Men	The Weinstein Company	45	42	Comedy	Comedy	2044	2643	12.08	0.25	12.33	0		5.4
Soul Surfer	Sony	46	79	Underdog	Drama	2214	4789	43.85	0.41	44.27	18	245.93%	10.6
Source Code	Summit Entertainment	92	81	The Riddle	Thriller	2961	5002	54.71	68.57	123.28	32	385.24%	14.81
Space Chimps	Independent*	36	37	Transformation	Animation	2511	2860	30.11	34.73	64.83	37	175.23%	7.18
Speed Racer	Warner Bros.	38	61	Quest	Action	3606	5174	43.95	50	93.95	120	78.29%	18.6
Spider-Man 3	Sony	61	54	Metamorphosis	Action	4252	35540	336.53	554.34	890.87	258	345.30%	151.1
Spy Kids: All The Time in the World	Weinstein Company	22	40	Quest	Action	3295	3534	38.54	35.54	74.08	27	274.37%	11.64
Star Trek 	Paramount	94	91	Revenge	Action	3849	19539	257.7	127.95	385.65	140	275.46%	75.2
Star Wars: The Clone Wars	Independent	19	46	sacrifice	Animation	3452	4233	35.16	33.12	68.28	8.5	803.32%	14.6
Stardust	Paramount	76	86	Quest	Adventure	2540	3610	38.63	96.92	135.56	70	193.66%	9.16
State of Play 	Universal	84	71	The Riddle	Crime	2803	5020	37.02	51.32	88.3	60	147.00%	14.1
Step Brothers	Sony	54	68	Comedy	Comedy	3094	10000	100.47	27.64	128.11	65	197.09%	30.94
Step Up 2: The Streets	Disney	26	81	underdog	Drama	2470	7655	58.02	92.8	150.82	17.5	861.80%	18.91
Step Up 3D	Summit	46	67	Transformation	Drama	2435	6494	42.4	116.75	159.15	30	530.50%	15.8
Stomp the Yard	Independent	27	83	Maturation	Musical	2051	10645	61.36	14.15	75.51	14	539.37%	21.9
Stone	Independent	49	20	Rivalry	Drama	6	12628	1.81	6.59	8.4	22	38.18%	0.075
Stop-Loss	Paramount	65	27	Tragedy	Drama	1291	3528	10.92	0.26	11.18	25	44.70%	4.56
Street Fighter: The Legend of Chun-Li 	Fox	16	28	Revenge	Action	1136	4156	9.14	3.2	12.34	50	24.68%	4.7
Street Kings	Fox	37	62	The Riddle	Action	2467	5054	26.42	39.15	65.57	20	327.86%	12.5
Sucker Punch	Legendary Pictures	23	48	Quest	Action	3033	6284	36.39	53.4	89.79	82	109.50%	19.06
Sunshine Cleaning 	Independent	72	59	Transformation	Comedy	642	1527	12.06	4.51	16.57	5	331.40%	0.9
Super 8 	Paramount	82	78	Monster Force	Horror	3379	10492	127	132.71	259.71	50	519.43%	35.45
Superbad	Sony	88	87	Comedy	Comedy	2948	11211	121.46	48.41	169.87	20	849.36%	33
Superhero Movie	The Weinstein Company	15	36	Comedy	Comedy	2960	3212	25.87	45.35	71.22	65	109.57%	9.51
Surf's Up	Sony	78	64	Discovery	Animation	3528	5000	58.87	90.18	149.04	85	175.35%	17.6
Surrogates 	Buena Vista	39	42	Pursuit	Action	2951	5050	38.57	83.86	122.43	80	153.04%	14.9
Sweeney Todd: The Demon Barber of Fleet Street	Warner Bros.	86	81	Revenge	Musical	1249	7446	52.9	99.63	152.52	50	305.05%	9.3
Swing Vote	Disney	36	44	maturation	Comedy	2213	2815	16.29	1.34	17.63	20	88.17%	6.23
Take Me Home Tonight	Relativity	28	46	Discovery	Comedy	2003	1730	6.93		6.93	25	27.71%	3.46
Take Shelter	Independent	92	85	Sacrifice	Drama			1.57	?	1.57	5	31.46%	0.05
Taken 	Fox	58	83	Pursuit	Action	3183	7765	145	81.8	226.8	25	907.20%	24.7
Takers	Sony	27	57	Rivalry	Action	2206	9298	57.74	10.42	68.16	32	213.00%	20.5
Taking Woodstock 	Focus	48	48	Quest	Comedy	1393	2482	7.5	2.5	10	29	34.48%	3.5
Tangled	Disney	89	88	Love	Animation	3603	13535	175.78	179.3	355.08	260	136.57%	48.77
Terminator Salvation 	Warner Bros.	33	64	Monster Force	Action	3530	12056	125.3	246.7	372	200	186.00%	42.6
The A-Team	Fox	47	71	Pursuit	Action	3535	7262	77.22	99.81	177.03	100	177.03%	25.7
The Adjustment Bureau	Independent	72	67	Sacrifice	Thriller	2840	7450	62.5	65.37	127.87	50.2	254.72%	21.16
The Adventures of Tintin	Paramount	74	78	Quest	Adventure	3087	3149	77.24	296.4	373.64	130	287.42%	9.72
The American	Universal	66	37	Rivalry	Crime	2823	4668	35.61	10.39	46	20	230.00%	13.1
The Artist	Weinstein Company	97	91		Drama	662	3583	40.45	65.29	105.74	16	660.88%	2.37
The Back-up Plan	CBS	20	47	Love	Comedy	3280	3720	37.49	39.6	77.09	35	220.26%	12.2
The Bank Job	Independent	78	74	Quest	Thriller	1603	3702	30.06	34.76	64.82	20	324.11%	5.94
The Beaver	Summit Entertainment	62	57	Transformation	Drama	22	4890	0.97	5.4	6.37	21	30.33%	0.11
The Big Year	Independent	38	62	Transformation	Comedy	2150	1513	7.17	0.24	7.41	41	18.07%	3.25
The Blind Side 	Warner Bros.	65	90	Rags To Riches	Biography	3110	10971	255.8	53.24	309.04	29	1065.66%	34.1
The Book of Eli        	Independent	48	68	Quest	Action	3111	10540	94.84	58.62	153.46	80	191.83%	32.7
The Bounty Hunter	Sony	7	41	Rivalry	Action	3074	6729	67.06	69.26	136.32	40	340.80%	20.7
The Bourne Ultimatum	Universal	93	91	Pursuit	Thriller	3660	18929	227.47	215.35	442.82	110	402.57%	69.3
The Box 	Warner Bros.	46	27	Temptation	Drama	2635	2873	15.1	18.28	33.38	30	111.27%	7.6
The Boy in the Striped Pyjamas	Independent	63	84	Tragedy	Drama			8.7	31.37	40.07	12.5	320.60%	1.03
The Brave One		43	65	Rivalry	Action	2755	4889	36.79	32.99	69.79	70	99.70%	13.5
The Bucket List	Warner Bros.	41	81	discovery	Drama	2911	6661	93.47	80.84	174.31	45	387.36%	19.4
The Change Up	Relativity Media	24	53	Metamorphosis	Comedy	2913	4645	37.08	33.75	70.83	52	136.22%	13.53
The Chronicles of Narnia: Prince Caspian	Disney	66	78	fish out of water	Action	3929	14007	141.62	278.04	419.67	200	209.83%	55.03
The Chronicles of Narnia: The Voyage of the Dawn Treader	Fox	49	63	Quest	Adventure	3555	6752	104	311	415	155	267.74%	24
The Company Men	Weinstein Company	66	55	Discovery	Drama	106	6111	4.4	0.4	4.8	15	32.00%	0.64
The Company Men	Independent	66	56	Discovery	Drama					0			
The Conspirator	Independent	56	65	Underdog	Drama	707	4960	11.54	2.67	14.21	25	56.84%	3.51
The Crazies	Liberty Starz	72	54	Monster Force	Horror	2476	6489	39.12	15.47	54.59	20	272.95%	16.07
The Curious Case of Benjamin Button	Warner Bros.	73	81	love	Fantasy	2988	8987	79.01	206.42	285.43	160	178.39%	26.85
The Darjeeling Limited	Fox	67	79	Journey and Return	Drama	698	2523	11.9	23.02	34.92	17.5	199.53%	1.8
The Dark Knight	Warner Bros.	94	96	Revenge	Thriller	4366	36283	530.92	468.58	999.49	185	540.27%	158.4
The Day the Earth Stood Still 	Fox	19	34	Sacrifice	Thriller	3560	8562	74.3	153.73	228.03	100	228.03%	30.5
The Debt	Universal	76	70	Pursuit	Thriller	1826	5427	31.18	14.25	45.43	20	227.15%	9.91
The Descendants	20th Century Fox	89	88	Discovery	Drama	876	5000	81.45	86.2	167.65	20	838.25%	4.38
The Dilemma	Spyglass Entertainment	23	31	Comedy	Comedy	2940	6060	48.5	21.2	69.7	70	99.57%	17.8
The Duchess	Paramount	60	68	Love	Drama			13.85	29.46	43.31	13.5	320.79%	3.3
